# T0015-002 (E3301-SN05 with B1 RFCU) wideband noise power spectra and gain.
# Digitiser datasets=M0_L5_V_Pol_sw_spec_dump_?.csv, digitiser spectrometer output, average of 3
# REF datasets=WBG8GHz_DIG_QTP_Vpol_ND_OFF.csv, spectrum analyser output from same input, with ~413MHz corrected manually.
# Input signal is NoiseWave model NW6G-MI with 13dB attenuation, fed through a 3dB divider to H & V inputs.
# 
# Frequency [Hz],Channel power [dBX],Gain [dB]
195286761.11382511,-43.13801048,19.78737078
195704934.04982901,-43.10390954,19.82409445
196123106.98583293,-43.07422581,19.85640089
196541279.92183682,-43.05211028,19.88113915
196959452.85784075,-43.02000869,19.91586345
197377625.79384464,-42.99192922,19.94656565
197795798.72984856,-42.95792829,19.98318930
198213971.66585246,-42.93934479,20.00439552
198632144.60185638,-42.90452144,20.04184160
199050317.53786027,-42.87047856,20.07850720
199468490.47386420,-42.84726929,20.10433919
199886663.40986809,-42.82255952,20.13167168
200304836.34587201,-42.79113925,20.16571467
200723009.28187591,-42.75666057,20.20281608
201141182.21787983,-42.72306362,20.23903575
201559355.15388373,-42.70462443,20.25932347
201977528.08988765,-42.68505930,20.27936599
202395701.02589154,-42.65249542,20.31240724
202813873.96189547,-42.62329577,20.34208427
203232046.89789936,-42.59879481,20.36706261
203650219.83390325,-42.57115130,20.39518350
204068392.76990718,-42.52923052,20.43758166
204486565.70591107,-42.51554112,20.45174844
204904738.64191499,-42.49126859,20.47649835
205322911.57791889,-42.46295223,20.50529208
205741084.51392281,-42.44392293,20.52479877
206159257.44992670,-42.40866702,20.56053206
206577430.38593063,-42.38798907,20.58168738
206995603.32193452,-42.36002404,20.61012979
207413776.25793844,-42.35234744,20.61828377
207831949.19394234,-42.31283262,20.65827597
208250122.12994626,-42.30709043,20.66449555
208668295.06595016,-42.27633953,20.69572383
209086468.00195408,-42.24486150,20.72767923
209504640.93795797,-42.24164975,20.73136836
209922813.87396190,-42.20436051,20.76913498
210340986.80996579,-42.19950702,20.77446585
210759159.74596971,-42.18067611,20.79377413
211177332.68197361,-42.16935046,20.80557717
211595505.61797753,-42.14920872,20.82619629
212013678.55398142,-42.12847948,20.84740291
212431851.48998535,-42.11352130,20.86283846
212850024.42598924,-42.10411088,20.87534132
213268197.36199316,-42.07976264,20.90380328
213686370.29799706,-42.06158987,20.92608975
214104543.23400098,-42.05034175,20.94145158
214522716.17000484,-42.04585928,20.95004775
214940889.10600880,-42.04225542,20.95776533
215359062.04201272,-42.02334567,20.98078879
215777234.97801661,-42.00888180,20.99936637
216195407.91402048,-42.00643279,21.00592908
216613580.85002443,-42.00095093,21.01552465
217031753.78602836,-41.98286991,21.03771938
217449926.72203225,-41.97639257,21.04831042
217868099.65803611,-41.97544568,21.05337102
218286272.59404007,-41.96619491,21.06673551
218704445.53004399,-41.95932743,21.07771669
219122618.46604788,-41.95212799,21.08902984
219540791.40205175,-41.95144016,21.09383137
