# T0015-002 (E3301-SN05 with B1 RFCU) wideband noise power spectra and gain.
# Digitiser datasets=M0_L5_H_Pol_sw_spec_dump_?.csv, digitiser spectrometer output, average of 3
# REF datasets=WBG8GHz_DIG_QTP_Hpol_ND_OFF.csv, spectrum analyser output from same input. 3
# Input signal is NoiseWave model NW6G-MI with 13dB attenuation, fed through a 3dB divider to H & V inputs.
# 
# Frequency [Hz],Channel power [dBX],Gain [dB]
203232046.89789936,-43.97227592,19.01437978
203650219.83390325,-43.94734780,19.05590105
204068392.76990718,-43.91559145,19.10425056
204486565.70591107,-43.87863376,19.15780140
204904738.64191499,-43.83936899,19.21365931
205322911.57791889,-43.80592261,19.26369884
205741084.51392281,-43.77619072,19.31002388
206159257.44992670,-43.73347880,19.36932896
206577430.38593063,-43.70698612,19.41241478
206995603.32193452,-43.67298421,19.46300984
207413776.25793844,-43.64489133,19.50769587
207831949.19394234,-43.60420892,19.56497143
208250122.12994626,-43.58120807,19.60456543
208668295.06595016,-43.55228382,19.65008283
209086468.00195408,-43.52200327,19.69695653
209504640.93795797,-43.50168448,19.73386847
209922813.87396190,-43.47658975,19.77555635
210340986.80996579,-43.45435026,19.81438899
210759159.74596971,-43.42720897,19.85812344
211177332.68197361,-43.39125354,19.91067201
211595505.61797753,-43.38113898,19.93737972
212013678.55398142,-43.36321195,19.97189991
212431851.48998535,-43.34508444,20.00662056
212850024.42598924,-43.32040014,20.03440103
213268197.36199316,-43.29402543,20.05860090
213686370.29799706,-43.27789591,20.07255559
214104543.23400098,-43.26547475,20.08280191
214522716.17000484,-43.25550977,20.09059204
214940889.10600880,-43.23356100,20.11036598
215359062.04201272,-43.21579250,20.12595964
215777234.97801661,-43.21131401,20.12826329
216195407.91402048,-43.19030494,20.14709752
216613580.85002443,-43.17378871,20.16143891
217031753.78602836,-43.15944144,20.17361134
217449926.72203225,-43.15517529,20.17570266
217868099.65803611,-43.15233426,20.17636885
218286272.59404007,-43.13503651,20.19149176
218704445.53004399,-43.12865686,20.19569657
219122618.46604788,-43.12102130,20.20115729
219540791.40205175,-43.10774936,20.21225439
219958964.33805567,-43.10277000,20.21505891
220377137.27405962,-43.09212017,20.22353390
220795310.21006349,-43.09087265,20.22260658
221213483.14606738,-43.09795258,20.21335182
221631656.08207130,-43.07678036,20.23234920
222049829.01807526,-43.09002191,20.21693281
222468001.95407912,-43.07366005,20.23111983
222886174.89008301,-43.08534619,20.21725885
223304347.82608694,-43.07766097,20.22276923
223722520.76209089,-43.09011164,20.20842359
224140693.69809476,-43.08761497,20.21235969
224558866.63409865,-43.07959571,20.22181840
224977039.57010257,-43.07173310,20.23112044
225395212.50610653,-43.09610991,20.20818307
225813385.44211039,-43.09668089,20.20905153
226231558.37811428,-43.09420189,20.21296997
226649731.31411821,-43.09391657,20.21469474
227067904.25012216,-43.09853527,20.21151547
227486077.18612602,-43.10327559,20.20821459
227904250.12212992,-43.10274665,20.21018297
228322423.05813384,-43.10935010,20.20501897
228740595.99413779,-43.11201285,20.20379566
229158768.93014166,-43.12196320,20.19528474
229576941.86614555,-43.12844031,20.19024708
229995114.80214947,-43.13569611,20.18443071
230413287.73815340,-43.14664382,20.17492244
230831460.67415729,-43.15371336,20.16929234
231249633.61016119,-43.15642927,20.16801587
231667806.54616511,-43.17006214,20.15582245
232085979.48216903,-43.17840040,20.14892362
232504152.41817293,-43.18054864,20.14821482
232922325.35417682,-43.19262178,20.13758112
233340498.29018074,-43.21357013,20.11807221
233758671.22618467,-43.20747113,20.12561066
234176844.16218856,-43.22025948,20.11426175
234595017.09819245,-43.22762583,20.10833484
235013190.03419638,-43.24114274,20.09672590
235431362.97020030,-43.25999169,20.08039170
235849535.90620419,-43.26920579,20.07369236
236267708.84220809,-43.28132752,20.06408540
236685881.77821201,-43.30115565,20.04677203
237104054.71421593,-43.31378646,20.03665597
237522227.65021983,-43.32827978,20.02467742
237940400.58622372,-43.33866649,20.01680546
238358573.52222764,-43.35941672,19.99857000
238776746.45823157,-43.37055574,19.98994574
239194919.39423546,-43.38424204,19.97877420
239613092.33023936,-43.40493406,19.96059694
240031265.26624328,-43.42008475,19.94796100
240449438.20224720,-43.43291139,19.93764913
240867611.13825110,-43.44483851,19.92823677
241285784.07425499,-43.45749608,19.91809396
241703957.01025891,-43.48969020,19.88841460
242122129.94626284,-43.50151172,19.87910784
242540302.88226673,-43.52128593,19.86184838
242958475.81827062,-43.53572544,19.84992364
243376648.75427455,-43.55872315,19.82944069
243794821.69027847,-43.56298282,19.82769578
244212994.62628236,-43.59525787,19.79793549
244631167.56228623,-43.60559005,19.79011807
245049340.49829018,-43.63028512,19.76793776
245467513.43429410,-43.65162278,19.74911486
245885686.37029800,-43.67422880,19.72902360
246303859.30630186,-43.69126343,19.70145148
246722032.24230582,-43.70855244,19.67023857
247140205.17830974,-43.73819471,19.62667241
247558378.11431363,-43.76196391,19.58897932
247976551.05031750,-43.77681167,19.56020767
248394723.98632145,-43.79872118,19.52437426
248812896.92232537,-43.81409933,19.49507222
249231069.85832927,-43.84425353,19.45099413
249649242.79433313,-43.85325716,19.42806660
250067415.73033708,-43.88736732,19.38003255
250485588.66634101,-43.90677048,19.34670550
250903761.60234490,-43.93368306,19.30586903
251321934.53834876,-43.94858606,19.27704213
251740107.47435272,-43.96470322,19.24700108
252158280.41035664,-43.97483609,19.22294431
252576453.34636053,-44.01346545,19.17039106
