# https://docs.google.com/document/d/1KuUgt05_h7IhXeArFLno2KMq7XKO943JaA1TpT7gHpA
# Entries collected from gaincal_l_5jy.csv, sources_pnt_Ku.csv, sources_all.csv, some coordinates updated from SIMBAD, INAF = Table 3 of "A First Extended Catalogue of Pointing/Focus Calibrators for the Sardinia Radio Telescope"
# ID       |  Name(s),                                        tag,   RA(J2000),     dec(J2000,)   flux polynomial,                                               unc[arcsec] source,             Gal l,  Gal b,~1400MHz flx,redshift,NED Object type     IRAS/X-ray  s-dish comment

# Numbers in comments below from <katselib.plot_scans(katdal.open(...), target_plane=True, ants=["m028"], pols=["HH"], chans=(500,4000))>

J1959+4044 | Cyg A | Cygnus A | 3C 405,                      radec, 19:59:28.36,  +40:44:02.1,  (20.0 2000.0 4.695 0.085 -0.178),                               mas        VLBI,                76.19,   5.76,   1590 Jy,  z=0.06,  Sy 2                   I; X       ok   ~3'; double radio src; cD; FRII                 

# SIMBAD position is off by 2.2deg, so not reliable!
#J2039+4219 | Cygnus X | TXS 2037+421,                        radec, 20:28:40.80,  +41:10:12.0,  (1000.0 10000.0 -18.6518084773 10.6913037958 -1.4244492132),    7.5x7.5    VLA 1400MHz,         81.68,   0.53,    ~19 Jy,        ,  HII                               no   ext'd 327 MHz src: probably Galactic               

# 21082021 11.7GHz: indistinct,0,0.1,0.15,0.15,0.15 [NO]
#J2107-2526 | PKS 2104-25 | NGC 7018,                         radec, 21:07:25.7,  -25:25:46,  ,                                                               10.1x10    Molonglo 408 MHz,    21.47, -40.18,     11 Jy,  z=0.04,  E pec                             ok   <2'; core & lobes?             

# 21082021 11.7GHz: indistinct,0.15,0.1,indistinct [NO]
#J2123+2504 | 3C 433,                                         radec, 21:23:44.58,  +25:04:27.23,  (20.0 6000.0 2.29 0.1239 -0.1597),                              0.8x0.7    Texas Int 365 MHz,   74.48, -17.69,     11 Jy,  z=0.10,  Sy 2; NLRG; FRI                   ok   <2'; edge-darkened appearance                 

# 21082021 11.7GHz: 0.8,0.9,0.7,0.9,1.0 [DESPERATE]
PKS J2136+0041,radec,21:36:38.6,+00:41:54.213,,9.367,540,INAF IRA 496/526

# 21082021 11.7GHz: indistinct,0.6,0.5,0.7,0.6,0.6,0.5,0.5 [DESPERATE]
J2157-6941 | PKS 2153-69 | ESO 075-G041,                     radec, 21:57:05.98,  -69:41:23.7,  (200.0 12000.0 2.923 -0.1222 -0.1043),                          mas        VLBI 2.3/8.4 GHz,   321.32, -40.65,     30 Jy,  v=8476,  S0; Sy 1/2?            I; X       ok   ~4' incl faint comp; FRII           

# 21082021 11.7GHz: 0,garbage,0
#J2223-0206 | PKS 2223-0206 | 3C445, radec, 22:23:49.7, -02:06:13,,;Elliptical Galaxy < 0.3arcmin

# 21082021 11.7GHz: 0.4,0.5,0.5,0.5,0.4,0.3 [DESPERATE]
J2225-0457 | PKS 2223-052 | 3C446, radec gaincal, 22:25:47.259291, -04:57:01.390730

# 21082021 11.7GHz: 0,0
#J2229-3823 | PKS 2226-386, radec gaincal, 22:29:46.91, -38:23:59.3, ()

# 21082021 11.7GHz: 1.2,1.2,1.3 [DESPERATE]
J2253+1608 | PKS 2251+158 | 3C454.3, radec gaincal, 22:53:57.747932, 16:08:53.560890

# 21082021 11.7GHz: 0.1,0.1,0,0,indistinct [NO]
#J233612-523622 | ATPMN J233612.1-523622,radec,23: 36: 12.08,-52: 36: 21.2,,CRATES

# 21082021 11.7GHz: 0,0,0.1 [NO]
#J233828+270126 | 3C 465,radec,23: 38: 29.39,+27: 01: 53.2,,CRATES

# 21082021 11.7GHz: 0,0,0
#J2341-3506 | PKS 2339-353, radec gaincal, 23:41:45.8910, -35:06:22.130, (80.  20000. -1.6575 3.4649 -1.2586 0.1128)

# 21082021 11.7GHz: 0.2,0.3,0.2,0.2,0.3,0.4 [NO]
#J2353-6054 | PKS 2356-61,                                    radec, 23:59:04.36,  -60:54:59.3,  (200.0 12000.0 -3.752 4.341 -0.8574),                           1.25x1.25  Molonglo 408 MHz,    14.02, -55.07,     25 Jy,  z=0.96,  Sy 2                              no   ~6'; FRII 2 compact outer lobes                                   


# These planets have T_a>0.15K in 14m dish at 12GHz (i.e. 20sigma if Tsys=130K, BW=700MHz & dT=1sec)
# 11.7GHz: [YES]
Venus,                                                       special
# 11.7GHz: [YES]
Jupiter,                                                     special
# 11.7GHz: [YES]
Saturn,                                                      special
